"plot_number","prow","pcol","grow","gcol","subplot"
337,25,"2",1,2,2
337,25,"2",1,3,1
165,25,"3",1,1,3
165,25,"3",1,2,2
165,25,"3",1,3,1
144,25,"4",1,1,3
144,25,"4",1,2,2
144,25,"4",1,3,1
137,25,"5",1,1,3
137,25,"5",1,2,2
137,25,"5",1,3,1
116,25,"6",1,1,3
116,25,"6",1,2,2
116,25,"6",1,3,1
109,25,"7",1,1,3
109,25,"7",1,2,2
109,25,"7",1,3,1
88,25,"8",1,1,3
88,25,"8",1,2,2
88,25,"8",1,3,1
81,25,"9",1,1,3
81,25,"9",1,2,2
81,25,"9",1,3,1
60,25,"10",1,1,3
60,25,"10",1,2,2
60,25,"10",1,3,1
53,25,"11",1,1,3
53,25,"11",1,2,2
53,25,"11",1,3,1
32,25,"12",1,1,3
32,25,"12",1,2,2
32,25,"12",1,3,1
25,25,"13",1,1,3
25,25,"13",1,2,2
25,25,"13",1,3,1
4,25,"14",1,1,3
4,25,"14",1,2,2
4,25,"14",1,3,1
920,26,"1",1,1,3
920,26,"1",1,2,2
920,26,"1",1,3,1
919,26,"2",1,1,3
919,26,"2",1,2,2
919,26,"2",1,3,1
166,26,"3",1,1,3
166,26,"3",1,2,2
166,26,"3",1,3,1
143,26,"4",1,1,3
143,26,"4",1,2,2
143,26,"4",1,3,1
138,26,"5",1,1,3
138,26,"5",1,2,2
138,26,"5",1,3,1
115,26,"6",1,1,3
115,26,"6",1,2,2
