"plot","block","Entry","Name","Pedigree"
189,1,319,"LA17008SBSS-24-1","BW 08-5 / LA16160,F1 (SD110304 / TX14OCS5212)"
190,1,26,"FL1035-2","UPF98H2000-4/FL03254-L1"
191,1,193,"TROPHY","LA90120C2-3-AB1/TX96M1558"
192,1,78,"LA07046SBSBSBS-2-S1","LA98002---84-2-S1-B-S1  /  LA06072,F1 (UFRGS046048-1/TX02U7605)"
193,1,236,"TAMO412","FL9708-P71=(Coker92Ab719/Horizon314)//TAMO405"
194,1,174,"NC14-1820","SS76-40 / NC02-8057"
195,1,449,"NC20-4452","Horizon578/Horizon306"
196,1,311,"TX20CAS1082","TX14OCS5208/TX07CS1228//LA09066SBS-U3"
197,1,83,"LA07049SBSBSBS-52-S1","LA99016/HZN 270"
198,1,297,"TX20CAS1001","LA07005SBSBSBS-9-S1/TX14OCS5073"
199,1,304,"TX20CAS1034","TX14OCS5086/LA14036S"
200,1,401,"FLLA16179-9","TX14OCS5212 / LA15044,F1,(HZN 306 (LA05006) / LA08048SBSBS-15)"
201,1,60,"LA06046-N2-Ab3","P973A38-3-6/LA90105-C4-1-1-1-2-1"
202,1,98,"LA08083SBSBS-5","UFRGS 028152-1/LA97006GSB-59-2-4-SBS1"
203,1,40,"Horizon 201","FL92OHR35183-Y1/TX96M1384 (=FL99201-D29-E1)"
204,1,166,"NC14-1747","Gerard 224 / NC03-5579N"
205,1,246,"FLLA13043-57","LA07007SBSBSB-18 / LA08040SBSB-49"
206,1,230,"TX14OCS5112","TX02U7227//TX08CS2235"
207,1,329,"LA17129SBSS-8-1","MN11211 (SA081654)2 / LA16022,F1 (CANTARA / BW 823)"
208,1,351,"TX19CAS0020","TX07CSC1948/LA07005SBSBSB12"
209,1,421,"LA16179SSBSS-22-1","TX14OCS5212 / LA15044,F1,(HZN 306 (LA05006) / LA08048SBSBS-15)"
210,1,248,"FL13109-38","FL0772-R3 (LA02018SBSBS5-B-S1/UFRGS 057029-4)/Carrolup"
211,1,240,"FL13057-4","FL0704-R1 (FL99084-J4/UFRGS 057070-1)/FL0772-R3 (LA02018SBSBS5-B-S1/UFRGS 057029-4 )"
212,1,356,"TX19CAS0055","LA08051BS-T2/TX14OCS5001"
213,1,114,"LA09028SBS-U2","HZN270/LA08014,F1(BW5-33 / IL00-8279)"
214,1,81,"LA07048SBSB-39","LA98002SBS-64  /  LA99017"
215,1,396,"FLLA17030-25","HZN 306  / LA16090,F1 (LA08085SBSBS-30 / MN2013BT1021-1-2)"
216,1,453,"TX18OCS9104","LA07023SBSBS-FS5-AB1/TX09CS1029"
217,1,346,"FLLA17030-23","HZN 306  / LA16090,F1 (LA08085SBSBS-30 / MN2013BT1021-1-2)"
218,1,53,"LA04004SBSB-7-B-S1","LA97006GBS-30-1-C/LA90113-1-B3-AFL2-1-19-3-1"
219,1,439,"Savage (TX14OCS5212)","FL0115-J4/TX02U7047"
220,1,427,"LA17067SBSS-26-1","LA09015SBS-U4 / LA10001SSBS-20"
221,1,314,"LA17076SBS-32-1",NA
222,1,163,"NC14-1651","NC05-5456 / SS76-40"
223,1,119,"LA09067SBS-U1","MN06120/UFRGS 017147-2"
224,1,146,"NC13-6589","NC01-3981/WN10B//NC01-3981"
225,1,241,"FL13088-3","BW 08- 31/LA06046SS-N2-Ab2 (P973A38-3-6 = ROBUST/LA90105-C4-1-1-1-2-1)"
226,1,154,"NC14-1543","NC3981-4 / WT1"
227,1,126,"LA09103SBS-U5","LA97006GSB-59-2-4/UFRGS08708-4"
228,1,97,"LA08081BS-T2","TX02U7682/UFRGS 028152-1"
229,1,63,"LA06059SBSBSB-16-S","TAMO 405/LA99016"
