fid,prow,pcol,grow,gcol,5-12-24_count,5-12-24_sum,5-12-24_mean
"769","19","5","1","1",2960,346.976135253906,0.117221667315509
"770","19","5","1","2",2957,432.998748779297,0.146431771653465
"771","19","5","1","3",2954,577.632019042969,0.195542321950903
"772","19","6","1","1",2953,497.500244140625,0.168472822262318
"773","19","6","1","2",2954,526.758361816406,0.178320366220855
"774","19","6","1","3",2961,599.667785644531,0.202522048512169
"775","19","7","1","1",2951,278.734130859375,0.0944541277056506
"776","19","7","1","2",2963,381.733581542969,0.128833473352335
"777","19","7","1","3",2954,392.336822509766,0.132815444316102
"778","19","8","1","1",2958,687.177429199219,0.232311504124144
"779","19","8","1","2",2954,711.025268554688,0.240699143044918
"780","19","8","1","3",2957,690.393890380859,0.233477812100392
"781","19","9","1","1",2950,479.275238037109,0.162466182385461
"782","19","9","1","2",2959,584.506530761719,0.197535157405109
"783","19","9","1","3",2959,547.948852539062,0.185180416539055
"784","19","10","1","1",2960,354.557250976562,0.119782855059649
"785","19","10","1","2",2956,459.400756835938,0.155412975925554
"786","19","10","1","3",2954,582.140014648438,0.19706838681396
"787","19","11","1","1",2950,737.251312255859,0.249915699069783
"788","19","11","1","2",2956,783.044067382812,0.264899887477271
"789","19","11","1","3",2960,894.539367675781,0.302209245836413
"790","19","12","1","1",2954,746.127136230469,0.252581968933808
"791","19","12","1","2",2960,791.89013671875,0.267530451594172
"792","19","12","1","3",2955,866.37158203125,0.293188352633249
"793","19","13","1","1",2959,326.886260986328,0.110471869207951
"794","19","13","1","2",2951,568.740966796875,0.192728216467935
"795","19","13","1","3",2960,748.674774169922,0.252930666949298
"796","19","14","1","1",2952,1015.44775390625,0.343986366499407
"797","19","14","1","2",2958,941.403594970703,0.31825679343161
"798","19","14","1","3",2957,912.693878173828,0.308655352781139
"799","20","1","1","1",2962,857.398559570312,0.289466090334339
"800","20","1","1","2",2956,822.914581298828,0.278387882712729
"801","20","1","1","3",2951,783.103088378906,0.265368718528941
"802","20","2","1","1",2954,745.504638671875,0.252371238548367
"803","20","2","1","2",2956,783.564758300781,0.265076034607842
"804","20","2","1","3",2957,572.325561523438,0.193549395171944
"805","20","3","1","1",2960,647.578308105469,0.218776455441037
"806","20","3","1","2",2958,656.014068603516,0.221776223327761
"807","20","3","1","3",2952,371.4765625,0.125838943936314
"808","20","4","1","1",2958,765.586120605469,0.258818837256751
"809","20","4","1","2",2953,698.765625,0.23662906366407
"810","20","4","1","3",2958,361.324493408203,0.122151620489589
"811","20","5","1","1",2953,455.173675537109,0.154139409257402
"812","20","5","1","2",2963,492.188690185547,0.16611160654254
"813","20","5","1","3",2951,575.890960693359,0.195151121888634
"814","20","6","1","1",2960,729.352172851562,0.246402761098501
"815","20","6","1","2",2956,664.176971435547,0.224687744058033
"816","20","6","1","3",2953,501.385467529297,0.169788509153165
"817","20","7","1","1",2954,494.839630126953,0.167515108370668
"818","20","7","1","2",2957,480.251831054688,0.162411846822688
"819","20","7","1","3",2958,353.029205322266,0.119347263462564
"820","20","8","1","1",2962,868.639282226562,0.293261067598434
"821","20","8","1","2",2956,806.1552734375,0.272718292773173
"822","20","8","1","3",2954,841.827362060547,0.284978795551979
"823","20","9","1","1",2954,727.232330322266,0.246185622993319
"824","20","9","1","2",2956,726.09326171875,0.24563371506047
"825","20","9","1","3",2959,675.054077148438,0.228135882780817
"826","20","10","1","1",2955,692.672729492188,0.234407015056578
"827","20","10","1","2",2961,658.447570800781,0.222373377507863
"828","20","10","1","3",2953,651.986572265625,0.220787867343591
"829","20","11","1","1",2960,916.203826904297,0.3095283199001
"830","20","11","1","2",2954,935.964202880859,0.316846378768063
"831","20","11","1","3",2959,912.728973388672,0.308458591885323
"832","20","12","1","1",2954,920.955444335938,0.311765553261996
"833","20","12","1","2",2959,916.337982177734,0.309678263662634
"834","20","12","1","3",2958,941.190795898438,0.318184853244908
"835","20","13","1","1",2962,639.349761962891,0.215850696138721
"836","20","13","1","2",2956,752.379577636719,0.254526244126089
"837","20","13","1","3",2955,737.692474365234,0.249642123304648
"838","20","14","1","1",2953,1033.66885375977,0.350040248479433
"839","20","14","1","2",2957,983.110809326172,0.332468991993971
"840","20","14","1","3",2958,1011.72814941406,0.342031152607864
"841","21","1","1","1",2956,738.264190673828,0.249751079388981
"842","21","1","1","2",2958,812.837921142578,0.274793076789242
"843","21","1","1","3",2956,823.634246826172,0.278631341957433
"844","21","2","1","1",2958,724.995941162109,0.245096667059537
"845","21","2","1","2",2951,640.085327148438,0.216904550033357
"846","21","2","1","3",2961,570.939758300781,0.192819911617961
"847","21","3","1","1",2952,755.698333740234,0.255995370508209
"848","21","3","1","2",2959,840.332977294922,0.283992219430524
"849","21","3","1","3",2955,871.098663330078,0.294788041736067
"850","21","4","1","1",2960,332.936614990234,0.112478586145349
"851","21","4","1","2",2953,563.977966308594,0.190984749850523
"852","21","4","1","3",2956,746.118377685547,0.25240811153097
"853","21","5","1","1",2956,441.414184570312,0.14932820858265
"854","21","5","1","2",2954,553.621154785156,0.187414067293553
"855","21","5","1","3",2958,761.367065429688,0.257392517048576
"856","21","6","1","1",2960,643.496948242188,0.217397617649388
"857","21","6","1","2",2954,706.166320800781,0.239054272444408
"858","21","6","1","3",2956,716.913024902344,0.242528086908777
"859","21","7","1","1",2956,588.68701171875,0.199149868646397
"860","21","7","1","2",2953,656.525695800781,0.222324990112015
"861","21","7","1","3",2960,675.095977783203,0.228072965467298
"862","21","8","1","1",2954,457.965087890625,0.155032189536434
"863","21","8","1","2",2958,637.392028808594,0.215480739962337
"864","21","8","1","3",2954,584.742858886719,0.197949512148517
